,Ёи╫╩й╠╪Д,Ёи╫╩╪ш,╪ш╦Я╠Д╤╞,Ёи╫╩а©ё╗йжё╘,Ёи╫╩╤Нё╗т╙ё╘,птжй
0,09:25:03,3.01,0.0,382,114982.0,бРел
1,09:30:03,3.01,0.0,321,96609.0,бТел
2,09:30:06,3.01,0.0,27,8143.0,бТел
3,09:30:09,3.01,0.0,25,7549.0,бТел
4,09:30:33,3.02,0.010000000000000231,10,3020.0,бРел
5,09:30:39,3.02,0.0,7,2114.0,бРел
6,09:30:54,3.02,0.0,2,604.0,бРел
7,09:31:03,3.02,0.0,34,10268.0,бРел
8,09:31:06,3.02,0.0,1,302.0,бРел
9,09:31:09,3.01,-0.010000000000000231,2,602.0,бТел
10,09:31:12,3.01,0.0,1,301.0,бТел
11,09:31:27,3.01,0.0,2,602.0,бТел
12,09:31:42,3.02,0.010000000000000231,184,55568.0,бРел
13,09:31:45,3.02,0.0,12,3624.0,бРел
14,09:32:27,3.01,-0.010000000000000231,38,11438.0,бТел
15,09:32:30,3.02,0.010000000000000231,2,604.0,бРел
16,09:33:12,3.02,0.0,23,6946.0,бРел
17,09:33:15,3.02,0.0,6,1812.0,бРел
18,09:33:18,3.02,0.0,1,302.0,бРел
19,09:33:24,3.01,-0.010000000000000231,25,7525.0,бТел
20,09:33:36,3.02,0.010000000000000231,7,2114.0,бРел
21,09:33:57,3.02,0.0,8,2416.0,бРел
22,09:34:12,3.02,0.0,8,2416.0,бРел
23,09:34:15,3.02,0.0,1,302.0,бРел
24,09:34:18,3.02,0.0,40,12080.0,бРел
25,09:34:27,3.02,0.0,90,27180.0,бРел
26,09:34:30,3.02,0.0,2,604.0,бРел
27,09:34:36,3.02,0.0,32,9664.0,бРел
28,09:34:42,3.02,0.0,2,604.0,бРел
29,09:34:54,3.02,0.0,10,3020.0,бРел
30,09:34:57,3.02,0.0,29,8758.0,бРел
31,09:35:00,3.02,0.0,46,13892.0,бРел
32,09:35:03,3.02,0.0,1,302.0,бРел
33,09:35:06,3.02,0.0,9,2718.0,бРел
34,09:35:12,3.02,0.0,7,2114.0,бРел
35,09:35:21,3.02,0.0,9,2718.0,бРел
36,09:35:36,3.01,-0.010000000000000231,688,207088.0,бТел
37,09:35:39,3.02,0.010000000000000231,13,3926.0,бРел
38,09:36:03,3.02,0.0,7,2114.0,бРел
39,09:36:09,3.02,0.0,7,2114.0,бРел
40,09:36:12,3.02,0.0,2,604.0,бРел
41,09:36:15,3.02,0.0,1,302.0,бРел
42,09:36:33,3.02,0.0,3,906.0,бРел
43,09:36:39,3.02,0.0,7,2114.0,бРел
44,09:36:48,3.02,0.0,2,604.0,бРел
45,09:36:57,3.02,0.0,1,302.0,бРел
46,09:37:00,3.02,0.0,34,10268.0,бРел
47,09:37:03,3.02,0.0,13,3926.0,бРел
48,09:37:06,3.02,0.0,41,12382.0,бРел
49,09:37:09,3.02,0.0,66,19932.0,бРел
50,09:37:12,3.02,0.0,11,3322.0,бРел
51,09:37:15,3.02,0.0,23,6946.0,бРел
52,09:37:18,3.02,0.0,52,15704.0,бРел
53,09:37:21,3.02,0.0,14,4228.0,бРел
54,09:37:24,3.02,0.0,24,7248.0,бРел
55,09:37:30,3.02,0.0,15,4530.0,бРел
56,09:37:36,3.02,0.0,18,5436.0,бРел
57,09:37:39,3.02,0.0,66,19932.0,бРел
58,09:37:42,3.02,0.0,11,3322.0,бРел
59,09:37:45,3.02,0.0,18,5430.0,бРел
