,成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
0,09:38:30,3.1,-0.029999999999999805,5,1550,卖盘
1,09:56:48,3.13,0.029999999999999805,1,313,买盘
2,10:44:24,3.12,-0.009999999999999787,30,9360,买盘
3,11:07:24,3.13,0.009999999999999787,1,313,买盘
4,11:20:00,3.13,0.0,9,2817,买盘
5,11:24:21,3.11,-0.020000000000000018,60,18660,卖盘
6,11:27:12,3.13,0.020000000000000018,1,313,买盘
7,13:07:36,3.11,-0.020000000000000018,40,12440,卖盘
8,13:15:03,3.13,0.020000000000000018,1,313,买盘
9,13:17:42,3.11,-0.020000000000000018,100,31100,卖盘
10,13:20:30,3.13,0.020000000000000018,1,313,买盘
11,13:26:42,3.11,-0.020000000000000018,19,5909,卖盘
12,13:30:57,3.11,0.0,1,311,买盘
13,13:40:45,3.13,0.020000000000000018,1,313,买盘
14,13:48:45,3.12,-0.009999999999999787,11,3432,买盘
15,14:02:30,3.12,0.0,7,2184,买盘
16,14:16:27,3.12,0.0,13,4056,买盘
17,14:52:48,3.1,-0.020000000000000018,65,20156,卖盘
18,14:53:33,3.1,0.0,25,7936,卖盘
19,14:53:45,3.12,0.020000000000000018,19,5928,买盘
20,14:54:51,3.1,-0.020000000000000018,4,1240,卖盘
21,15:00:03,3.13,0.029999999999999805,1,313,买盘
