,Ёи╫╩й╠╪Д,Ёи╫╩╪ш,╪ш╦Я╠Д╤╞,Ёи╫╩а©ё╗йжё╘,Ёи╫╩╤Нё╗т╙ё╘,птжй
0,09:25:41,2.58,0.0,1441,371778,бРел
1,09:30:02,2.57,-0.010000000000000231,31,7990,бТел
2,09:30:06,2.58,0.010000000000000231,124,31872,бРел
3,09:30:11,2.57,0.0,18,4626,бТел
4,09:30:14,2.57,0.0,14,3603,бТел
5,09:30:20,2.57,0.0,23,5911,бТел
6,09:30:26,2.58,0.0,6,1548,бРел
7,09:30:29,2.57,-0.010000000000000231,18,4626,бТел
8,09:30:35,2.58,0.010000000000000231,204,52432,бРел
9,09:30:41,2.57,0.0,70,18042,бТел
10,09:30:44,2.58,0.010000000000000231,1,258,бРел
11,09:30:53,2.58,0.0,85,21847,бРел
12,09:30:56,2.58,0.0,1,258,бРел
13,09:30:59,2.58,0.0,4,1032,бРел
14,09:31:06,2.57,-0.010000000000000231,18,4626,бТел
15,09:31:13,2.57,0.0,211,54415,бТел
16,09:31:17,2.58,0.010000000000000231,36,9288,бРел
17,09:31:20,2.58,0.0,24,6192,бРел
18,09:31:26,2.58,0.0,24,6169,бРел
19,09:31:29,2.57,-0.010000000000000231,23,5911,бТел
20,09:31:35,2.58,0.0,76,19585,бРел
21,09:31:44,2.58,0.010000000000000231,4,1032,бРел
22,09:31:50,2.57,-0.010000000000000231,65,16705,бТел
23,09:31:56,2.58,0.0,3,774,бРел
24,09:32:01,2.57,-0.010000000000000231,1,257,бТел
25,09:32:05,2.58,0.0,4,1032,бРел
26,09:32:11,2.57,-0.010000000000000231,15,3855,бТел
27,09:32:15,2.57,0.0,38,9766,бТел
28,09:32:19,2.58,0.010000000000000231,4,1032,бРел
29,09:32:27,2.58,0.0,178,45924,бРел
30,09:32:32,2.58,0.0,85,21852,бРел
31,09:32:38,2.58,0.0,4,1032,бРел
32,09:32:50,2.58,0.0,5,1290,бРел
33,09:32:56,2.58,0.0,1,258,бРел
34,09:33:01,2.58,0.0,30,7740,бРел
35,09:33:05,2.58,0.0,41,10578,бРел
36,09:33:13,2.58,0.0,4,1032,бРел
37,09:33:23,2.58,0.0,7,1806,бРел
38,09:33:26,2.57,-0.010000000000000231,29,7454,бТел
39,09:33:32,2.58,0.010000000000000231,24,6172,бРел
40,09:33:37,2.57,-0.010000000000000231,23,5911,бТел
41,09:33:41,2.58,0.010000000000000231,10,2580,бРел
42,09:33:44,2.58,0.0,4,1032,бРел
43,09:33:53,2.57,-0.010000000000000231,50,12851,бТел
44,09:33:56,2.58,0.010000000000000231,6,1548,бРел
45,09:34:02,2.57,-0.010000000000000231,16,4113,бТел
46,09:34:05,2.58,0.010000000000000231,4,1032,бРел
47,09:34:14,2.58,0.0,2065,532770,бРел
48,09:34:19,2.58,0.0,122,31476,бРел
49,09:34:25,2.58,0.0,59,15222,бРел
50,09:34:29,2.58,0.0,12,3096,бРел
51,09:34:38,2.59,0.009999999999999787,5,1295,бРел
52,09:34:44,2.59,0.0,6,1550,бРел
53,09:34:49,2.58,-0.009999999999999787,4,1032,бТел
54,09:34:56,2.59,0.009999999999999787,3,777,бРел
55,09:35:02,2.59,0.0,5,1295,бРел
56,09:35:14,2.59,0.0,4,1036,бРел
57,09:35:23,2.59,0.0,5,1295,бРел
58,09:35:26,2.59,0.0,1,259,бРел
59,09:35:31,2.58,-0.009999999999999787,102,26318,бТел
60,09:35:35,2.58,0.0,355,91595,бТел
61,09:35:43,2.58,0.0,5,1290,бТел
62,09:35:44,2.59,0.009999999999999787,4,1036,бРел
63,09:35:53,2.59,0.0,2,518,бРел
64,09:35:56,2.59,0.0,6,1554,бРел
65,09:36:02,2.59,0.0,1,259,бРел
66,09:36:08,2.59,0.0,4,1036,бРел
67,09:36:12,2.59,0.0,10,2590,бРел
68,09:36:14,2.59,0.0,27,6993,бРел
69,09:36:19,2.59,0.0,5,1295,бРел
70,09:36:26,2.59,0.0,2,518,бРел
71,09:36:29,2.58,-0.009999999999999787,54,13936,бТел
72,09:36:36,2.59,0.0,1,259,бРел
73,09:36:42,2.59,0.0,11,2849,бРел
74,09:36:44,2.58,-0.009999999999999787,16,4128,бТел
75,09:36:50,2.59,0.009999999999999787,5,1295,бРел
76,09:37:01,2.59,0.009999999999999787,22,5698,бРел
77,09:37:14,2.59,0.0,55,14245,бРел
78,09:37:24,2.59,0.0,4,1036,бРел
79,09:37:32,2.59,0.0,1,259,бРел
80,09:37:35,2.59,0.0,5,1295,бРел
81,09:37:49,2.59,0.0,105,27195,бРел
82,09:37:56,2.59,0.009999999999999787,4,1036,бРел
83,09:38:02,2.59,0.0,1,259,бРел
84,09:38:08,2.59,0.0,24,6196,бРел
85,09:38:20,2.59,0.0,5,1295,бРел
86,09:38:25,2.58,-0.009999999999999787,21,5418,бТел
87,09:38:31,2.59,0.009999999999999787,2,518,бРел
88,09:38:38,2.58,0.0,40,10320,бТел
89,09:38:42,2.59,0.009999999999999787,4,1036,бРел
90,09:38:44,2.58,-0.009999999999999787,8,2064,бТел
91,09:38:53,2.59,0.009999999999999787,5,1295,бРел
92,09:39:02,2.59,0.0,3,777,бРел
93,09:39:06,2.59,0.0,4,1036,бРел
94,09:39:14,2.59,0.0,13,3358,бРел
95,09:39:24,2.59,0.0,1,259,бРел
96,09:39:30,2.58,-0.009999999999999787,11,2838,бТел
97,09:39:38,2.58,0.0,6,1553,бТел
98,09:39:44,2.58,0.0,8,2064,бТел
99,09:39:50,2.58,-0.009999999999999787,1,258,бТел
100,09:39:54,2.59,0.009999999999999787,3,777,бРел
101,09:39:59,2.59,0.0,5,1295,бРел
102,09:40:06,2.58,-0.009999999999999787,86,22188,бТел
103,09:40:12,2.58,0.0,6,1552,бТел
104,09:40:14,2.58,0.0,7,1806,бТел
105,09:40:20,2.59,0.009999999999999787,44,11396,бРел
106,09:40:26,2.58,-0.009999999999999787,110,28380,бТел
107,09:40:30,2.58,0.0,101,26058,бТел
108,09:40:36,2.58,0.0,4,1032,бТел
109,09:40:41,2.59,0.009999999999999787,12,3108,бРел
110,09:40:44,2.59,0.0,16,4135,бРел
111,09:40:53,2.59,0.0,6,1554,бРел
112,09:40:59,2.58,-0.009999999999999787,5,1290,бТел
113,09:41:07,2.59,0.009999999999999787,5,1295,бРел
114,09:41:17,2.58,-0.009999999999999787,61,15748,бТел
115,09:41:20,2.59,0.009999999999999787,89,23040,бРел
116,09:41:24,2.58,-0.009999999999999787,11,2838,бТел
117,09:41:32,2.59,0.0,1,259,бРел
118,09:41:38,2.59,0.0,4,1036,бРел
119,09:41:44,2.59,0.0,3,777,бРел
120,09:41:50,2.59,0.0,4,1036,бРел
121,09:42:02,2.59,0.0,5,1295,бРел
122,09:42:07,2.58,-0.009999999999999787,50,12900,бТел
123,09:42:12,2.59,0.009999999999999787,5,1295,бРел
124,09:42:24,2.59,0.0,4,1036,бРел
125,09:42:30,2.58,-0.009999999999999787,50,12900,бТел
126,09:42:35,2.59,0.0,3,777,бРел
127,09:42:44,2.59,0.0,4,1036,бРел
128,09:42:54,2.59,0.0,1,259,бРел
129,09:43:00,2.59,0.0,10,2590,бРел
130,09:43:05,2.59,0.0,155,40145,бРел
131,09:43:13,2.58,-0.009999999999999787,10,2580,бТел
132,09:43:19,2.59,0.009999999999999787,5,1295,бРел
133,09:43:25,2.59,0.0,1,259,бРел
134,09:43:30,2.59,0.009999999999999787,4,1036,бРел
135,09:43:37,2.59,0.0,12,3108,бРел
136,09:43:43,2.58,-0.009999999999999787,111,28643,бТел
137,09:43:49,2.58,0.0,13,3354,бТел
138,09:43:55,2.58,-0.009999999999999787,11,2838,бТел
139,09:44:00,2.59,0.0,2,518,бРел
140,09:44:06,2.58,-0.009999999999999787,47,12126,бТел
141,09:44:13,2.58,-0.009999999999999787,27,6966,бТел
142,09:44:14,2.58,0.0,12,3100,бТел
143,09:44:20,2.58,0.0,32,8256,бТел
144,09:44:25,2.59,0.009999999999999787,15,3874,бРел
145,09:44:31,2.58,-0.009999999999999787,11,2838,бТел
146,09:44:37,2.59,0.009999999999999787,4,1036,бРел
147,09:44:42,2.59,0.0,45,11620,бРел
148,09:44:44,2.58,-0.009999999999999787,8,2064,бТел
149,09:44:49,2.58,0.0,16,4133,бТел
150,09:44:57,2.59,0.009999999999999787,50,12950,бРел
151,09:45:00,2.58,-0.009999999999999787,45,11614,бТел
152,09:45:06,2.58,0.0,111,28638,бТел
153,09:45:13,2.58,-0.009999999999999787,10,2580,бТел
154,09:45:14,2.58,0.0,8,2064,бТел
155,09:45:20,2.58,-0.009999999999999787,21,5423,бТел
156,09:45:24,2.58,0.0,27,6966,бТел
157,09:45:32,2.58,0.0,399,102942,бТел
158,09:45:36,2.58,0.0,58,14919,бРел
159,09:45:43,2.58,0.0,29,7472,бРел
160,09:45:44,2.58,0.0,2,516,бРел
161,09:45:49,2.58,0.0,14,3600,бРел
162,09:46:02,2.58,0.0,7,1806,бРел
163,09:46:07,2.58,0.0,6,1548,бРел
164,09:46:14,2.58,0.0,5,1290,бРел
165,09:46:27,2.58,0.0,4,1032,бРел
166,09:46:29,2.57,-0.010000000000000231,112,28784,бТел
167,09:46:37,2.58,0.0,4,1032,бРел
168,09:46:43,2.57,-0.010000000000000231,4,1028,бТел
169,09:46:49,2.58,0.010000000000000231,5,1290,бРел
170,09:47:00,2.58,0.010000000000000231,4,1032,бРел
171,09:47:12,2.58,0.0,7,1806,бРел
172,09:47:14,2.57,-0.010000000000000231,486,124902,бТел
173,09:47:20,2.58,0.010000000000000231,6,1548,бРел
174,09:47:27,2.57,-0.010000000000000231,78,20046,бТел
175,09:47:31,2.57,0.0,35,8995,бТел
176,09:47:42,2.58,0.0,4,1032,бРел
177,09:47:49,2.58,0.0,10,2580,бРел
178,09:47:54,2.58,0.0,4,1032,бРел
179,09:48:08,2.58,0.0,5,1290,бРел
180,09:48:19,2.58,0.0,5,1290,бРел
181,09:48:25,2.58,0.0,8,2064,бРел
182,09:48:32,2.58,0.0,2,516,бРел
183,09:48:37,2.58,0.0,54,13932,бРел
184,09:48:43,2.58,0.0,2,516,бРел
185,09:48:44,2.58,0.0,9,2322,бРел
186,09:48:50,2.58,0.0,14,3612,бРел
187,09:48:54,2.58,0.0,1,258,бРел
188,09:49:00,2.58,0.0,5,1290,бРел
189,09:49:12,2.58,0.0,4,1032,бРел
190,09:49:14,2.58,0.0,301,77658,бРел
191,09:49:20,2.58,0.0,5,1290,бРел
192,09:49:25,2.58,0.0,5,1290,бРел
193,09:49:31,2.58,0.0,1,258,бРел
194,09:49:38,2.58,0.0,1,258,бРел
195,09:49:44,2.58,0.0,4,1032,бРел
196,09:49:56,2.58,0.0,5,1290,бРел
197,09:50:02,2.58,0.0,122,31476,бРел
198,09:50:07,2.58,0.0,21,5418,бРел
199,09:50:13,2.58,0.0,29,7482,бРел
200,09:50:20,2.58,0.0,167,43086,бРел
201,09:50:27,2.58,0.0,7,1806,бРел
202,09:50:31,2.58,0.0,4,1032,бРел
203,09:50:37,2.58,0.0,3,774,бРел
204,09:50:43,2.58,0.0,82,21080,бРел
205,09:50:44,2.58,0.0,78,20124,бРел
206,09:50:50,2.58,0.0,4,1032,бРел
207,09:51:02,2.58,0.0,5,1290,бРел
208,09:51:08,2.58,0.0,3,774,бРел
209,09:51:13,2.58,0.0,5,1290,бРел
210,09:51:14,2.58,0.0,3,774,бРел
211,09:51:19,2.57,-0.010000000000000231,478,122846,бТел
212,09:51:25,2.57,0.0,100,25704,бТел
213,09:51:32,2.57,0.0,16,4112,бТел
214,09:51:37,2.58,0.010000000000000231,5,1290,бРел
215,09:51:43,2.57,-0.010000000000000231,20,5140,бТел
216,09:51:44,2.58,0.010000000000000231,32,8238,бРел
217,09:51:50,2.58,0.0,3,774,бРел
218,09:51:55,2.58,0.0,3,774,бРел
219,09:52:08,2.57,-0.010000000000000231,20,5144,бТел
220,09:52:19,2.58,0.010000000000000231,5,1290,бРел
221,09:52:31,2.58,0.0,4,1032,бРел
222,09:52:43,2.58,0.0,4,1032,бРел
223,09:52:50,2.58,0.0,4,1032,бРел
224,09:53:02,2.58,0.0,4,1032,бРел
225,09:53:14,2.58,0.0,5,1290,бРел
226,09:53:20,2.58,0.0,2,516,бРел
227,09:53:25,2.58,0.0,5,1290,бРел
228,09:53:37,2.58,0.0,4,1032,бРел
229,09:53:43,2.58,0.0,1,258,бРел
230,09:53:44,2.57,-0.010000000000000231,50,12850,бТел
231,09:53:49,2.57,0.0,25,6429,бТел
