,Ёи╫╩й╠╪Д,Ёи╫╩╪ш,╪ш╦Я╠Д╤╞,Ёи╫╩а©ё╗йжё╘,Ёи╫╩╤Нё╗т╙ё╘,птжй
0,09:25:03,4.38,0.009999999999999787,111,48618.0,бРел
1,09:30:03,4.39,0.009999999999999787,152,66716.0,бРел
2,09:30:06,4.38,-0.009999999999999787,10,4380.0,бТел
3,09:30:12,4.39,0.009999999999999787,50,21950.0,бРел
4,09:30:27,4.39,0.0,21,9219.0,бРел
5,09:30:45,4.39,0.0,1,439.0,бРел
6,09:30:51,4.38,-0.009999999999999787,31,13578.0,бТел
7,09:31:03,4.38,0.0,1,438.0,бТел
8,09:31:06,4.39,0.009999999999999787,11,4829.0,бРел
9,09:31:09,4.39,0.0,3,1317.0,бРел
10,09:31:18,4.39,0.0,1,439.0,бРел
11,09:31:27,4.39,0.0,20,8780.0,бРел
12,09:32:06,4.39,0.0,4,1756.0,бРел
13,09:32:45,4.38,-0.009999999999999787,54,23662.0,бТел
14,09:32:48,4.39,0.009999999999999787,197,86483.0,бРел
15,09:33:30,4.39,0.0,5,2195.0,бТел
16,09:34:00,4.39,0.0,8,3512.0,бТел
17,09:34:03,4.38,-0.009999999999999787,24,10535.0,бТел
18,09:34:09,4.38,0.0,61,26718.0,бТел
19,09:34:21,4.37,-0.009999999999999787,116,50729.0,бТел
20,09:34:27,4.38,0.009999999999999787,3,1314.0,бТел
21,09:34:30,4.38,0.0,10,4380.0,бРел
22,09:34:33,4.38,0.0,18,7884.0,бРел
23,09:34:42,4.37,-0.009999999999999787,200,87405.0,бТел
24,09:35:09,4.37,0.0,37,16169.0,бРел
25,09:35:12,4.37,0.0,26,11362.0,бРел
26,09:35:18,4.37,0.0,118,51449.0,бРел
27,09:35:30,4.37,0.0,20,8740.0,бРел
28,09:35:36,4.37,0.0,111,48507.0,бРел
29,09:35:39,4.37,0.0,8,3496.0,бРел
30,09:35:48,4.37,0.0,45,19665.0,бРел
31,09:35:57,4.37,0.0,2,874.0,бТел
32,09:36:03,4.37,0.0,3,1311.0,бТел
33,09:36:06,4.37,0.0,22,9614.0,бРел
34,09:36:09,4.37,0.0,15,6555.0,бРел
35,09:36:12,4.37,0.0,3,1311.0,бРел
36,09:36:33,4.36,-0.009999999999999787,14,6104.0,бТел
37,09:36:42,4.37,0.009999999999999787,31,13547.0,бРел
38,09:36:51,4.37,0.0,9,3933.0,бРел
39,09:36:57,4.36,-0.009999999999999787,45,19620.0,бТел
40,09:37:03,4.36,0.0,1,436.0,бТел
41,09:37:27,4.36,0.0,49,21364.0,бТел
42,09:37:42,4.36,0.0,4,1744.0,бТел
43,09:37:48,4.37,0.009999999999999787,12,5244.0,бРел
44,09:37:51,4.37,0.0,36,15732.0,бРел
45,09:38:09,4.37,0.0,15,6555.0,бРел
46,09:38:24,4.37,0.0,5,2185.0,бРел
47,09:38:27,4.37,0.0,5,2185.0,бРел
48,09:38:30,4.37,0.0,20,8740.0,бРел
49,09:38:33,4.36,-0.009999999999999787,42,18342.0,бТел
50,09:38:39,4.36,0.0,4,1744.0,бТел
51,09:38:48,4.36,0.0,10,4360.0,бТел
52,09:38:51,4.36,0.0,340,148240.0,бТел
53,09:40:00,4.35,-0.010000000000000675,10,4350.0,бТел
54,09:40:06,4.35,0.0,1,435.0,бТел
55,09:40:18,4.36,0.010000000000000675,12,5232.0,бРел
56,09:40:24,4.35,-0.010000000000000675,90,39150.0,бТел
57,09:40:27,4.35,0.0,123,53505.0,бТел
58,09:40:30,4.35,0.0,298,129630.0,бТел
59,09:40:42,4.35,0.0,50,21750.0,бРел
60,09:40:45,4.35,0.0,300,130500.0,бРел
61,09:40:54,4.35,0.0,28,12180.0,бРел
62,09:40:57,4.35,0.0,13,5655.0,бРел
63,09:41:00,4.35,0.0,6,2610.0,бРел
64,09:41:03,4.35,0.0,3,1305.0,бРел
65,09:41:12,4.35,0.0,5,2175.0,бРел
66,09:41:18,4.34,-0.009999999999999787,5,2170.0,бТел
67,09:41:27,4.34,0.0,229,99386.0,бТел
